Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Vehicle Type,0,1,2,3,4,5,6,7,8,9,10,11,12,13-15,16-20,21-25,26-30,31-60,60+,Total Vehicles,Average Age of Fleet (in Years),Average Lifetime Miles per Vehicle
MTA New York City Transit,Brooklyn,NY,20008,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",Van,0,0,0,32,0,2,10,0,4,0,0,0,0,0,0,0,0,0,0,48,4.12,"118,610"
MTA New York City Transit,Brooklyn,NY,20008,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",Trucks and other Rubber Tire Vehicles (Service),39,14,13,123,234,79,75,229,58,85,77,87,65,174,65,11,1,0,0,"1,429",,
MTA New York City Transit,Brooklyn,NY,20008,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",Steel Wheel Vehicles (Service),0,0,0,0,0,0,0,0,0,2,28,0,0,1,5,10,8,126,2,182,,
MTA New York City Transit,Brooklyn,NY,20008,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",Sports Utility Vehicle,0,0,0,0,0,0,58,0,173,0,87,0,0,0,0,0,0,0,0,318,8.18,"184,696"
MTA New York City Transit,Brooklyn,NY,20008,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",Over-the-road Bus,45,30,0,0,0,0,88,203,4,0,73,70,0,7,0,0,0,0,0,520,6.93,"231,206"
MTA New York City Transit,Brooklyn,NY,20008,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",Heavy Rail Passenger Car,0,0,20,146,136,2,24,0,93,23,0,0,0,"1,662",0,"1,837",0,"2,510",0,"6,453",26.07,"1,391,691"
MTA New York City Transit,Brooklyn,NY,20008,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",Cutaway,0,0,0,549,117,0,15,0,25,0,0,34,75,7,0,0,0,0,0,822,4.59,"146,004"
MTA New York City Transit,Brooklyn,NY,20008,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",Bus,444,260,0,429,197,137,200,541,17,15,314,210,62,305,0,0,0,0,0,"3,131",5.89,"181,352"
MTA New York City Transit,Brooklyn,NY,20008,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",Automobiles (Service),13,4,9,0,22,36,23,116,87,16,17,24,16,46,5,0,0,0,0,434,,
MTA New York City Transit,Brooklyn,NY,20008,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",Articulated Bus,0,0,11,168,211,131,0,0,0,127,245,45,83,0,0,0,0,0,0,"1,021",6.96,"175,524"
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",Van,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.50,"41,559"
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",Trucks and other Rubber Tire Vehicles (Service),4,41,79,44,17,33,148,232,61,33,30,21,25,33,23,17,8,7,0,856,,
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",Steel Wheel Vehicles (Service),1,0,0,5,0,0,1,0,0,6,5,2,2,7,11,6,10,13,0,69,,
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",Over-the-road Bus,59,260,119,114,129,9,14,171,1,0,0,0,0,61,148,21,0,0,0,"1,106",6.10,"341,747"
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",Minivan,3,20,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1.94,"26,321"
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",Light Rail Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,37,0,0,0,92,19.96,"826,082"
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",Cutaway,0,0,0,0,145,0,159,75,20,4,0,0,0,0,0,0,0,0,0,403,5.60,"220,735"
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",Commuter Rail Self-Propelled Passenger Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,157,44.61,"1,719,366"
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",Commuter Rail Passenger Coach,0,0,0,0,0,0,0,0,0,0,100,0,0,329,263,97,0,159,0,948,20.91,"1,140,694"
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",Commuter Rail Locomotive,0,9,0,0,0,0,0,0,0,0,0,35,36,0,60,0,18,28,0,186,19.95,"1,193,562"
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",Bus,0,0,0,0,0,0,0,0,0,138,373,244,241,247,0,0,0,0,0,"1,243",11.26,"398,934"
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",Automobiles (Service),0,0,28,1,0,0,0,9,1,14,1,4,2,3,2,0,0,0,0,65,,
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",Automobile,0,0,73,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,122,3.61,"54,882"
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",Articulated Bus,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,2.00,"47,235"
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",Van,0,0,0,0,274,306,1,0,7,0,0,0,0,0,0,0,0,0,0,588,4.57,"115,500"
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",Trucks and other Rubber Tire Vehicles (Service),2,58,214,66,118,49,89,106,133,217,159,64,26,66,4,5,0,0,0,"1,376",,
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",Steel Wheel Vehicles (Service),9,0,0,0,0,0,0,0,0,26,13,12,1,0,10,9,5,1,0,86,,
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",Heavy Rail Passenger Car,0,0,4,64,94,0,0,0,0,0,0,0,0,82,42,0,0,348,0,634,24.09,"1,575,059"
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",Bus,99,99,100,100,100,0,216,59,104,105,113,99,140,97,83,0,0,0,0,"1,514",7.29,"234,331"
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",Automobiles (Service),8,0,7,2,1,3,36,25,3,22,5,0,11,15,0,0,0,0,0,138,,
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",Automobile,0,175,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,1.01,"33,721"
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",Articulated Bus,0,32,10,0,12,0,0,21,0,0,0,0,0,2,0,0,0,0,0,77,3.55,"69,123"
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",Van,29,159,242,278,72,8,14,4,0,0,0,0,0,0,0,0,0,0,0,806,2.38,"47,438"
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",Trucks and other Rubber Tire Vehicles (Service),0,38,55,58,84,10,45,119,20,81,25,14,61,212,90,45,6,7,0,970,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",Steel Wheel Vehicles (Service),0,1,1,3,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,10,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",Light Rail Vehicle,6,5,0,31,52,51,44,0,0,0,1,5,8,17,21,6,0,0,0,247,7.13,"464,826"
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",Heavy Rail Passenger Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,26,0,0,84,25.43,"1,560,892"
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",Bus,64,121,130,237,0,0,188,316,343,109,43,55,149,86,0,0,0,0,0,"1,841",6.57,"249,531"
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",Automobiles (Service),0,0,0,11,34,110,9,37,67,20,63,0,1,102,5,0,0,0,0,459,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",Articulated Bus,0,29,93,51,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,268,6.66,"226,812"
Chicago Transit Authority,Chicago,IL,50066,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","2,180",Trucks and other Rubber Tire Vehicles (Service),91,50,130,19,52,45,90,32,10,6,6,9,3,32,67,7,17,9,0,675,,
Chicago Transit Authority,Chicago,IL,50066,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","2,180",Steel Wheel Vehicles (Service),0,0,0,0,3,0,5,1,2,1,0,0,3,8,13,7,5,47,0,95,,
Chicago Transit Authority,Chicago,IL,50066,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","2,180",Heavy Rail Passenger Car,15,13,0,0,0,0,0,111,232,147,176,30,10,4,0,0,255,494,0,"1,487",21.76,"1,096,235"
Chicago Transit Authority,Chicago,IL,50066,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","2,180",Bus,114,0,6,24,0,0,146,182,93,0,0,0,0,689,330,0,0,0,0,"1,584",11.41,"537,762"
Chicago Transit Authority,Chicago,IL,50066,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","2,180",Automobiles (Service),0,4,43,1,0,0,5,1,0,1,0,1,0,1,0,0,0,0,0,57,,
Chicago Transit Authority,Chicago,IL,50066,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","2,180",Articulated Bus,0,0,0,0,0,0,0,0,0,80,13,0,0,206,0,0,0,0,0,299,11.99,"357,959"
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,County or Local Government Unit or Department of Transportation,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",Van,0,0,0,10,0,0,13,59,9,12,1,0,0,0,0,0,0,0,0,104,6.84,"60,650"
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,County or Local Government Unit or Department of Transportation,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",Trucks and other Rubber Tire Vehicles (Service),0,13,84,26,13,72,42,40,24,20,3,7,9,76,14,5,0,0,0,448,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,County or Local Government Unit or Department of Transportation,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",Trolleybus,0,0,0,0,0,0,33,138,3,0,0,0,0,0,0,0,0,0,0,174,6.83,"119,399"
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,County or Local Government Unit or Department of Transportation,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",Sports Utility Vehicle,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.00,"62,221"
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,County or Local Government Unit or Department of Transportation,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",Minivan,0,0,0,363,319,210,79,67,0,0,0,0,0,0,0,0,0,0,0,"1,038",4.20,"23,198"
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,County or Local Government Unit or Department of Transportation,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",Light Rail Vehicle,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,10,9.40,"184,553"
