Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Bus,Bus with ULB Reported,Bus >= ULB,Articulated Bus,Articulated Bus with ULB Reported,Articulated Bus >= ULB,Over-the-Road Bus,Over-the-Road Bus with ULB Reported,Over-the-Road Bus >= ULB,Double Decker Bus,Double Decker Bus with ULB Reported,Double Decker Bus >= ULB,School Bus,SchoolBus with ULB Reported,School Bus >= ULB,Van,Van with ULB Reported,Van >= ULB,Cutaway,Cutaway with ULB Reported,Cutaway >= ULB,Automobile,Automobile with ULB Reported,Automobile >= ULB,Minivan,Minivan with ULB Reported,Minivan >= ULB,Sport Utility Vehicle,Sport Utility Vehicle with ULB Reported,Sport Utility Vehicle >= ULB,Trolleybus,TrolleyBus with ULB Reported,Trolleybus >= ULB,Heavy Rail Passenger Car,Heavy Rail Passenger Car with ULB Reported,Heavy Rail Passenger Car >= ULB,Light Rail Vehicle,Light Rail Vehicle with ULB Reported,Light Rail Vehicle >= ULB,Commuter Rail Passenger Coach,Commuter Rail Passenger Coach with ULB Reported,Commuter Rail Passenger Coach >= ULB,Commuter Rail Self-Propelled Passenger Car,Commuter Rail Self-Propelled Passenger Car with ULB Reported,Commuter Rail Self-Propelled Passenger Car >= ULB,Locomotive,Locomotive with ULB Reported,Locomotive >= ULB,Automated Guideway Vehicle,Automated Guideway Vehicle with ULB Reported,Automated Guideway Vehicle >= ULB,Vintage/Historic Trolley,Vintage/Historic Trolley with ULB Reported,Vintage/Historic Trolley >= ULB,Streetcar,Streetcar with ULB Reported,Streetcar >= ULB,Aerial Tramway,Aerial Tramway with ULB Reported,Aerial Tramway >= ULB,Monorail,Monorail >= ULB,Cable Car,Cable Car with ULB Reported,Cable Car >= ULB,Inclined Plane,Inclined Plane with ULB Reported,Inclined Plane >= ULB,Ferryboat,Ferryboat with ULB Reported,Ferryboat >= ULB,Other,Other with ULB Reported,Other >= ULB,Total Revenue Vehicles,Total with ULB Reported,Total Revenue Vehicles >= ULB,Automobiles,Automobiles >= ULB,Trucks and Other Rubber Tire Vehicles,Trucks and Other Rubber Tire Vehicles >= ULB,Steel Wheel Vehicles,Steel Wheel Vehicles >= ULB,Total Service Vehicles,Total Service Vehicles >= ULB
MTA New York City Transit,Brooklyn,NY,20008,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019","3,131","3,131",367,"1,021","1,021",83,520,520,7,0,0,0,0,0,0,48,48,4,822,822,121,0,0,0,0,0,0,318,318,260,0,0,0,"6,453","4,153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,313","10,013",842,434,211,"1,429",480,182,127,"2,045",818
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289","1,243","1,243",488,110,110,0,"1,106","1,106",230,0,0,0,0,0,0,14,14,0,403,403,254,122,122,49,31,31,0,0,0,0,0,0,0,0,0,0,92,92,0,948,883,0,157,157,0,186,171,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,412","4,332","1,035",65,36,856,548,69,26,990,610
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807","1,514","1,514",97,77,77,2,0,0,0,0,0,0,0,0,0,588,588,588,0,0,0,177,177,0,0,0,0,0,0,0,0,0,0,634,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,990","2,990",687,138,76,"1,376",620,86,23,"1,600",719
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509","1,841","1,841",28,268,268,95,0,0,0,0,0,0,0,0,0,806,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,14,247,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,246","2,567",137,459,171,970,390,10,2,"1,439",563
Chicago Transit Authority,Chicago,IL,50066,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","2,180","1,584","1,584",946,299,299,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,487","1,487",494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,370","3,370","1,496",57,4,675,213,95,73,827,290
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,County or Local Government Unit or Department of Transportation,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",544,544,93,651,651,105,0,0,0,0,0,0,0,0,0,104,104,22,459,459,115,52,0,0,"1,038","1,038",0,6,6,0,174,174,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,"3,041","2,989",335,120,30,448,113,0,0,568,143
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",954,952,308,105,105,0,149,0,0,0,0,0,0,0,0,399,399,0,5,0,0,305,305,0,0,0,0,0,0,0,28,28,28,472,472,252,227,227,0,393,393,30,0,0,0,81,81,19,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,"3,139","2,973",644,63,44,"1,264",237,90,34,"1,417",315
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962","1,231","1,231",217,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,456,456,0,0,0,0,0,0,0,0,0,0,38,38,0,332,332,0,119,119,0,45,45,0,351,347,231,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,767","2,763",448,165,7,549,183,79,40,793,230
Maryland Transit Administration,Baltimore,MD,30034,Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",699,699,80,62,62,0,327,0,0,0,0,0,0,0,0,0,0,0,454,454,203,39,1,1,10,10,0,50,50,0,0,0,0,100,100,96,53,53,0,177,177,26,0,0,0,48,48,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,019","1,654",414,27,10,378,56,9,5,414,71
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",741,737,101,89,89,0,11,0,0,0,0,0,0,0,0,216,0,0,101,0,0,189,0,0,37,1,0,189,0,0,0,0,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,718",972,101,83,18,252,78,11,7,346,103
